node_id,name,degree,degree_centrality,closeness,betweenness,pagerank
Gargoyle_(comics),Gargoyle (comics),8,0.028985507246376812,0.375,0.0014947637397598793,0.0047596929106278945
Gladiator_(Kallark),Gladiator (Kallark),10,0.036231884057971016,0.4125560538116592,0.0014745236961267213,0.0030174613886060236
Jack_Frost_(Marvel_Comics),Jack Frost (Marvel Comics),7,0.025362318840579712,0.3437110834371108,0.001457771867295519,0.0005868086375784788
Rikki_Barnes,Rikki Barnes,6,0.021739130434782608,0.33212996389891697,0.001411726600379519,0.001690925139704967
Spitfire_(character),Spitfire (character),6,0.021739130434782608,0.33865030674846625,0.0013183216673845852,0.002996586568306392
Phyla-Vell,Phyla-Vell,9,0.03260869565217391,0.36363636363636365,0.0013162513253708683,0.0068733845541894085
Hulk_2099,Hulk 2099,4,0.014492753623188406,0.36750998668442075,0.0012974560677708772,0.0008137232085503703
Black_Marvel,Black Marvel,6,0.021739130434782608,0.3865546218487395,0.0012677244619914987,0.001904779672736992
Living_Lightning,Living Lightning,6,0.021739130434782608,0.3791208791208791,0.0012620821356461819,0.0029486198584598913
Shatterstar,Shatterstar,5,0.018115942028985508,0.32857142857142857,0.0012585575631756814,0.0021601915829907977
Frog-Man,Frog-Man,6,0.021739130434782608,0.38928067700987307,0.0012520732704196338,0.0016009921088297528
Abomination_(character),Abomination (character),9,0.03260869565217391,0.4226646248085758,0.0012310252687907117,0.005274026936912558
Leech_(character),Leech (character),6,0.021739130434782608,0.3399014778325123,0.0011829931941604286,0.0012133361135600084
Kristoff_Vernard,Kristoff Vernard,8,0.028985507246376812,0.4005805515239477,0.0010943023340739294,0.002200397333106172
Scarlet_Spider,Scarlet Spider,8,0.028985507246376812,0.3948497854077253,0.001088617637313789,0.008639749767442938
Isaiah_Bradley,Isaiah Bradley,7,0.025362318840579712,0.3971223021582734,0.0010184573261604523,0.0005300214031699635
Speed_(character),Speed (character),7,0.025362318840579712,0.37398373983739835,0.0009875636278603485,0.0019093427863779199
Golem_(Marvel_Comics),Golem (Marvel Comics),3,0.010869565217391304,0.35069885641677256,0.0009145990186622803,0.0011055533839706183
White_Tiger_(comics),White Tiger (comics),5,0.018115942028985508,0.3898305084745763,0.0008680370763527978,0.0015662935995652987
Hybrid_(Scott_Washington),Hybrid (Scott Washington),5,0.018115942028985508,0.3898305084745763,0.0008245746767959797,0.0008808103186103885
Iron_Man_(Ultimate_Marvel_character),Iron Man (Ultimate Marvel character),5,0.018115942028985508,0.4076809453471196,0.0008076961121711706,0.0010305764070510624
Shamrock_(comics),Shamrock (comics),8,0.028985507246376812,0.3796423658872077,0.0008074398242091887,0.0005300214031699635
Iron_Man_2020,Iron Man 2020,6,0.021739130434782608,0.39598278335724535,0.0007570557766431165,0.0019430779469221393
Gauntlet_(Joseph_Green),Gauntlet (Joseph Green),6,0.021739130434782608,0.38068965517241377,0.0007509924895580034,0.0008293683443188148
Doctor_Spectrum,Alice Nugent,7,0.025362318840579712,0.38333333333333336,0.0007099054453251095,0.0013628307491989665
Thor_Girl,Thor Girl,4,0.014492753623188406,0.3520408163265306,0.000671023014561754,0.0015763632241622303
Ricochet_(comics),Ricochet (comics),6,0.021739130434782608,0.4005805515239477,0.0006386751333614714,0.0010581851974225012
Killraven,Killraven,7,0.025362318840579712,0.3954154727793696,0.0006281323925327032,0.001970438148646502
