node_id,giant_after,giant_fraction_remaining,component_count_after,nodes_outside_giant,fragmentation_score,name,degree,betweenness,closeness,pagerank,null_betweenness_mean,null_betweenness_sd,betweenness_z,betweenness_rank,fragmentation_rank
Gladiator_(Kallark),276,1.0,1,0,0.0,Gladiator (Kallark),10,0.0014745236961267213,0.4125560538116592,0.0030174613886060236,0.003219205797539553,0.002481846323337733,-0.7029774909940758,138,102
Golem_(Marvel_Comics),276,1.0,1,0,0.0,Golem (Marvel Comics),3,0.0009145990186622803,0.35069885641677256,0.0011055533839706183,0.00044376420137565197,0.0012718013156595986,0.3702109846005605,154,103
Gorgon_(Inhuman),276,1.0,1,0,0.0,Gorgon (Inhuman),5,0.00029990497390892517,0.33133253301320525,0.002015084185433231,0.0008230325450392409,0.001313465194516162,-0.39828049750722094,191,104
Gremlin_(comics),276,1.0,1,0,0.0,Gremlin (comics),4,0.0001363716479926445,0.3660477453580902,0.0005300214031699635,0.0007269812332089166,0.0016149298957197353,-0.36571840473177425,211,105
Guardian_(Marvel_Comics),276,1.0,1,0,0.0,Guardian (Marvel Comics),7,0.0017895464314852468,0.35069885641677256,0.003315476533431955,0.0018979789664422327,0.002194963179286684,-0.049400616821382935,125,106
Gwenpool,276,1.0,1,0,0.0,Gwenpool,15,0.003896882530202447,0.4437299035369775,0.00454155684085134,0.006563456145235001,0.0028008882833478336,-0.9520456888217131,87,107
Hank_Pym,276,1.0,1,0,0.0,Hank Pym,27,0.02098349723286165,0.4346456692913386,0.008529676053961403,0.018870278408708707,0.004845790809291482,0.43609369601778664,17,108
Hawkeye_(comics),276,1.0,1,0,0.0,Hawkeye (comics),3,0.00017644241646052724,0.3317307692307692,0.0005300214031699635,0.00021167059109469783,0.0003230671953167719,-0.10904287140521611,205,109
Helix_(Marvel_Comics),276,1.0,1,0,0.0,Helix (Marvel Comics),1,0.0,0.37347767253044656,0.0005300214031699635,0.0,0.0,0.0,255,110
Hellion_(character),276,1.0,1,0,0.0,Hellion (character),12,0.009333163221761833,0.4188163884673748,0.0015130861574368204,0.004532767283528369,0.0030380146664086096,1.5801095338055935,41,111
Hercules_(Marvel_Comics),276,1.0,1,0,0.0,Hercules (Marvel Comics),26,0.03737937581542801,0.467005076142132,0.012241783266214676,0.0176020971985293,0.004643607003923587,4.2590336779550935,7,112
Hit-Monkey,276,1.0,1,0,0.0,Hit-Monkey,4,0.00012332423195397885,0.39372325249643364,0.0009436780598316477,0.0006669782887717545,0.0015610358186963005,-0.3482649470989131,214,113
Hornet_(comics),276,1.0,1,0,0.0,Hornet (comics),6,0.00046031670724490067,0.359375,0.0015567762177200795,0.00119750801310851,0.0016056311006454596,-0.4591286912462398,178,114
Hrimhari,276,1.0,1,0,0.0,Hrimhari,2,0.00012787456647161692,0.3094170403587444,0.0011421420302974376,0.00011267084880974278,0.0005288272343501536,0.02874987647063439,213,115
Hulk,276,1.0,1,0,0.0,Hulk,65,0.10504922646350522,0.5257142857142857,0.027998476210234952,0.09269948566418758,0.00880978601790696,1.4018207450459397,2,116
Hulk_2099,276,1.0,1,0,0.0,Hulk 2099,4,0.0012974560677708772,0.36750998668442075,0.0008137232085503703,0.0005724738049099378,0.0012671473462829066,0.5721373011494103,143,117
Hulkling,276,1.0,1,0,0.0,Hulkling,11,0.003255372824995988,0.40707964601769914,0.0015092549261337758,0.003662099706135831,0.0025942415851140624,-0.15678064967953254,96,118
Human_Fly_(character),276,1.0,1,0,0.0,Human Fly (character),5,0.0003753533843150887,0.38227146814404434,0.0005300214031699635,0.0007673800759631376,0.0012395479639749798,-0.31626585097271953,182,119
Human_Torch,276,1.0,1,0,0.0,Human Torch,18,0.012080761171325893,0.43601895734597157,0.008906450429739556,0.008649515485078217,0.003439734811470677,0.9975320407856176,35,120
Human_Torch_(android),276,1.0,1,0,0.0,Human Torch (android),17,0.012352108351859573,0.38764044943820225,0.008547116572602457,0.008591986689829068,0.0034719673731263656,1.0829945267154593,32,121
Hybrid_(Scott_Washington),276,1.0,1,0,0.0,Hybrid (Scott Washington),5,0.0008245746767959797,0.3898305084745763,0.0008808103186103885,0.0007265750833223223,0.0010885579701038666,0.09002698631135525,156,122
Hyperion_(character),276,1.0,1,0,0.0,Hyperion (character),10,0.004427166886988874,0.3812154696132597,0.003972023724659192,0.0030765580646007953,0.002156903848475117,0.6261794299931027,79,123
Ikaris,276,1.0,1,0,0.0,Ikaris,5,0.005315441206878625,0.35159235668789807,0.001114923295273683,0.0009521481513190089,0.0014550097538878525,2.9988067391993067,69,124
Inferno_(Dante_Pertuz),276,1.0,1,0,0.0,Inferno (Dante Pertuz),3,0.0,0.3108108108108108,0.0005300214031699635,0.00038648245022539836,0.0011349785759239865,-0.34051959959751915,256,125
